speaker,timestamp,words

Sam Schrager,0:00:02,"This conversation with Tom Wahl of Genesee took place at his home in Pullman on March 10, 1976. The interviewer is Sam Schrager."
Tom Wahl,0:00:22,"One of my earliest, my earliest knowledge of what the Genesee area was like originally is pretty well described by my father speaking of riding from our place six miles east of Genesee to Lewiston on a saddle horse without crossing a fence and with a bunch of grass rubbing the horse's belly all the way down to the lower part of the Lewiston Canyon. This is something that I came too late to see. I was born in 1911. So my memory of that country of course is all fences and plowed ground and mud roads. Mud roads are a thing that very few people now experience unless they make the wrong turn in the spring or the fall in our area and leave the gravel road. Then they find out what mud roads are. I was on the end of a mud road six miles away from the nearest town. And for certain stages of the year in this country, that's isolation. Your trips to town were infrequent enough that you considered that quite an event when you were a child in those days. There was one period of the year when you got to go to town often enough that it could have become monotonous were it not for this contrast of the long period of isolation. The time you got to go to town was when the crops were hauled into town and delivered. And then you got to go every day or maybe twice a day. And this was for a boy that was big enough to enjoy it and too small to work, this was quite an enjoyable thing."
Sam Schrager,0:02:31,You would just go in with your father on the wagon then?
Tom Wahl,0:02:35,Yes.
Sam Schrager,0:02:36,Riding it back?
Tom Wahl,0:02:38,"Along with this same type of thing, you must realize that all of the heating of our homes for the winter was accomplished by burning wood. And in the Genesee area, there never was any great amount of wood very close. Some of the canyons had trees in, some of, frequently some of this was used as fuel. And in my day it was supplemented somewhat, if you hadn't accumulated a big enough wood pile, it would be supplemented sometimes by buying coal in the nearest town. This coal, you can see, almost had to be hauled before the roads deteriorated to the point where it became a pretty difficult thing. So after the harvest, one of the last things you did in the fall was to try to accumulate enough wood to see you through another year of farming. You might think of this as a hardship, but really this was like a vacation. We got our wood from Troy, or north of Troy, or near Troy. And one of the places where we frequently got the wood was from O.K. Olson's sawmill, which was within, what would you say, a mile or two of Troy?"
Sam Schrager,0:04:01,I'd say about three miles.
Tom Wahl,0:04:03,"Three miles of Troy. And we would haul this home on a mud road, remember, but by this time the road was either dry and dusty, or it would be a time when the road was frozen hard. And we would leave our farm in the morning and we would go up to, we would go first in the direction of Juliaetta, and then take the first left-hand road up a canyon that drains into the Little Potlatch Creek. But we would, this road turned to the left before you reached the Little Potlatch Creek. There is another road roughly paralleling it that is about a mile or so further down when you turn off on it. And we would get up to the place where we loaded our wood, usually O.K. Olson's sawmill, and we would get there in time to load a load up that night, and we would cook our dinner and sleep overnight in a sleeping bag, or before my time, of course, the pioneers didn't have sleeping bags, it was more conventional bedding."
Sam Schrager,0:05:40,Would you stay right there at the mill? Yes.
Tom Wahl,0:05:42,"And I must say here that the O.K. Olson family was a most hospitable family. We had never been there, but what we were invited to share their meal with them. But I can only recall one time that we did this because, contrary to what you might think, pioneers were well aware of the trouble that another family might be put to where they were already feeding a large number of people to stretch the table for two more. And the next morning we would start out for home and get down at the farm in time to unload this load of wood. That was the routine."
Sam Schrager,0:06:31,How much wood do you think had to get loaded?
Tom Wahl,0:06:35,"When I was making these trips with my father, I believe the first one I made that stands out in my memory, I was big enough to drive a team with two horses pulling the wagon, and he drove a team with four horses pulling his wagon. And I presume that the two of us, and this is just a real wild guess, but I presume that the two of us on the two wagons would haul more than a quart of wood. As I say, this wasn't a hardship. This was a vacation. It was like a camping trip. Everything you saw was new. I was going to describe the route we took. We would go up this road, up this canyon, across a little divide, down into a second canyon, and we would probably go through or near to, well we went through what was then called Lenville, which was a little settlement. There was a store and post office and schoolhouse, and Cornwall, or near what we speak of as Joel now, and from there on into Troy, and up the other side a ways until we came to the sawmill."
Sam Schrager,0:08:06,"Would you make just one trip a year of this, or would it take him more than one to..."
Tom Wahl,0:08:11,"No, it would take several trips like this to get a year's supply of wood. I can't remember how much wood it required, though, and it varied too. It would depend on the year. We usually would keep a backlog of some sort of fuel there, and there was always other sources of fuel, and if the weather wasn't suitable, you might not get to make this trip at all. You might have to burn refuse and what you had left, and there was too, you must remember in those days, one method of taking up land by means of a timber claim, wherein you planted trees, and these trees as a general rule were a pretty worthless type of a tree, and they'd no more than really come to a appreciable size before the process of grabbing out these timber claims, timber began. So they served the purpose of supplying some alternate fuel, and we relied on them frequently, and as I have said, you did supplement it with coal, and there were always the deteriorating fences with the resulting fence posts and so forth that had to be replaced, and the water main to the old fence posts could be burned."
Sam Schrager,0:09:41,"Well, how long could you anticipate that you would perhaps be socked in and isolated during"
Tom Wahl,0:09:51,"If we happened to have a muddy fall, the thing we looked forward to with a great deal of anticipation was the good sleighing. Would it be a year with good sledding? Sometimes it wasn't, sometimes it wasn't, but this was a vast improvement. Snow-covered roads are a vast improvement for a horse-drawn economy over a muddy road. Muddy roads, there are instances where a strong team of horses can't even move a wagon that's stuck in the mud. Not only a strong team of horses, two or three teams of horses. You have no idea of how deep the mud in this country was, particularly in an area where it was traveled or in a low area where the water didn't drain off. I've heard my mother tell of a team, or rather of a wagon that was stuck in the main street of Moscow for a long period of time. I don't believe I would be misquoting her if I said, all-wader. Of course, Moscow and the towns were the first settlements to pave certain streets, and my memory doesn't go back to the days of mud streets in main street of Moscow, although I have been stuck with a Model T within two blocks of main street. That was as late as 1930, 1931. Mud roads were pretty plentiful here in Pullman when I came here in 1945. I don't think you'd have to hunt too far to find mud roads yet. You looked in suitable places."
Sam Schrager,0:12:05,Ours is kind of muddy. We live near the old O'Kales place.
Tom Wahl,0:12:09,"Oh, you do."
Sam Schrager,0:12:09,"Going through that canyon at this time of year, it's pretty muddy sometimes."
Tom Wahl,0:12:15,"There is a thing that would interest you a little bit, but in general, what we call those mountain roads, the mountain country there, in general, the road isn't as muddy. That is, the mud isn't as muddy as the loam and clay soil that most represents a great deal of the Palouse. Those mountain areas where there is quite a bit of decomposed granite in the soil didn't ever get as bad as the lower roads that I speak of, except in spots."
Sam Schrager,0:12:53,"Well, let me ask you just a little more about this isolation, the winter isolation especially, but in isolation in general, what did you do to pass the time in those months when you weren't?"
