time,title,description
[1:00],"Crap shooting in Potlatch, gambling in Spokane","Crap shooting in Potlatch, gambling in Spokane."
[1:37:00],"Bootlegging, gambling, and prostitution in Onaway, also came to Potlatch","Bootlegging by Italians in Onaway. Gambling in saloons. Prostitutes had houses, also came to Potlatch."
[17:00],Ten hour days reduced to eight after Wobbly strike; work half days during holidays; automation and reduction of work force,Ten hour day (for $2) gradually reduced to eight after Wobbly strike. Men had to come half hour early to oil their machines. They had to work a half day on holidays to stop machinery from freezing. He has been to mill only a few times in last twenty years; automation and reduction of work force.
[24:00],The only breaks they had were to use the toilet; foremen watched workers closely; favoritism among the workers; IWW's were too radical,"The only breaks were to go to the toilet. Foremen watched to see that men did work; they favored friends at work, and might fire others. He wouldn't join CIO when they took over because he belonged to the AFL. IWW's were too radical, fighting against capital."
[30:00],IWW's wanted too much; Elk River strikers given choice of return to work or enlist into army,"IWW's wanted too much, had no contracts; nowadays the unions and companies sit down and agree. At Elk River strikers were given the choice of returning to work or going into the army. One man went to Seattle and changed his name. A strike leader went into the army, then started a gambling house in Spokane; he was a businessman. The 4-L's was a company union, to keep men from striking. The company wouldn't have improved conditions on their own. AFL and CIO work better together."
[39:00],Working ten hour day; working on the railroads; foremen used interpreters; work or go hungry; railroad crews,"Working ten hour day. Hard work on the railroads. Hot work in summer. Foremen used interpreters to give instructions; the more work they got from men, the more credit from the company. One boss said he wanted to see ""one Greek die"". Work or go hungry. What railroad crews did. Bad work on a mudslide."
[52:00],Men couldn't save money; railroad section was six or seven miles; section work in winter,"Men couldn't save money, and had no choice but work. Each railroad section was six or seven miles. Section work in winter. Men had to be satisfied with what they got. In section crews foremen had no interpreters."
[1:01:00],"Section house and ""town"" at Adrian, WA; no fresh meat; no contact with townspeople cause they couldn't speak English","Section house and ""town"" at Adrian, Wash, (near Ephrata). No fresh meat in hot summer. No contact with townspeople because they couldn't speak English."
[1:10:00],Interpreters thought they were special for speaking a little English,"Interpreters were fine except in thinking they were special because they spoke a little English. Their interpreter was from hometown, and they met him in Spokane. Threatening to quit when the boss worked men too hard. The crew supported every member unless he was a worthless worker. The crew was mostly from his hometown and worked together."
[1:17:00],"Working away from his countrymen at Bull Run, Oregon; lonely","He worked construction without any of his countrymen at Bull Run, Oregon. He was lonely there because he knew no English so people didn't speak to him. He wanted to experience what it was like to be among Americans."
[1:25:00],Riding the skipper on construction work,"He rode the skipper on construction work. He gave the wrong signal once and another worker got furious at him, but he couldn't reply in English. Other work."
[1:30:00],His father returned to Greece; Work brought him to Potlatch,Working at various jobs. It was hard to save money. He gave his father his savings of $400 to return to Greece. Deciding to come to Potlatch. (Why WISM Railroad didn't go to Montana.) All his father was able to do was be a waterboy for his gang; he was too old to work. Young Greeks went back to fight in war against Bulgaria; he was teased about sending his father back to fight.
[1:46:00],Visiting family in Greece; inflation ruins savings; father ran a little store in Greece,"When he visited sister in Greece she was a widow and needed help. Inflation ruins his savings. Father got help from his crew. In Greece father ran a little store. Father thought he could make money here, but he was wrong. Living too long."
[1:55:00],People get ahead through business more easily than work,"People can get ahead through business, but not by working. A successful Greek who worked in the mill and got lucky in business."
[1:59:00],The exchange rate in Greece was no longer favorable,"American money is no longer worth a lot more in Greece, Greece has little to trade--raisins are now grown in California."
