time,title,description
[0:00],Uncle Bill Morgan of Lewiston.,Uncle Bill Morgan of Lewiston.
[2:00],Dangers to health in the early days,"Women's ill-health in early days - lack of outside activities, strain of childbearing and farm work. Lack of good treatment around birth. People's religion discouraged them from practicing birth control, by encouraging view that children were gifts from heaven. High mortality rate of infants: bad diphtheria epidemic in late 1870's."
[8:00],Employment opportunities for women; family finances,"Mother's desire to teach school for money, but father opposed it. Egg and cream money was ""the wife's province."" Men did major buying of furniture - status of buying a piano for children. Many women went to Moscow to ""pick peas"" when factory opened in late twenties."
[13:00],Women entering the teaching profession,"Most early teachers were men. In 1890's women entered teaching field in large numbers; opening of Lewiston Normal in 1895 made this possible. Until depression, many married women with older children kept teaching. Her lenient husband; she was on fourteen boards at once."
[21:00],Women's education and fashion,"For some single women the right man hadn't come along. Pressure from mothers to marry. Some intelligent girls chose not to marry for their careers. Girls got more schooling while boys worked on farms; some were too educated for men. Teachers set fashions for neighborhoods. Most farm women had one good dress (black). Constriction of corsets for ""wasp waists"", society women rather than farm women wore them. Distinct line between working country women and social town women. Hired girls in town signified middle class families."
[30:00],Upper and middle-class women; involvement at the church,"""Upper ten"" families had servant quarters. Hiring girls for harvest. Signs of middle class women: their leisure. Women's support of missionary work and church maintenance through church organizations. Evangelism among the church families - calling in times of distress with something in hand; growing by helping others. Church was main focus of social activity - role in socializing youth. Greater church activity in Moscow than small towns; rural isolation from ministers. Church activities were dominated by women. Many American men weren't devout, but old country men tended to be."
[44:00],The role of religion in death,"Early women believed that suffering on earth would be rewarded in heaven. Women grieved deeply for death of their children, despite belief in hereafter. Talk of the missing older family members. Desirability of a religious death, especially for the young. Family sat with dying person, and minister would join them."
[53:00],The benefits of taking care of the elderly at home,"Keeping old in the home. Desire to care for kin until death. Stigma of ""poor house."" Continuity of having old in home for young, imparting sense of responsibility and inevitability. Interest of old in family life. Increased importance of family."
[58:00],Treatment of country people,Treatment of country people as inferior. As a country woman at the Historical Club she stood up to an anti-Semitic speaker.
[1:03:00],Prominent Moscow families,Some prominent Moscow families. Judge Forney's joke about his college presidency; Mrs. Forney's reaction to a caller.
[1:04:00],Experiences at the University of Idaho,"Dean French and her policies of social conduct; she was not very understanding. College fashions and social life. Her university experience as an older student: walking from the country, hard work, Sororities - pressure to get in. Relations between sexes before marriage, in town and country, not much different than now; lack of information about birth control."
[1:18:00],Social Service activities,"Social service activities - development of health unit, PTA and hot lunch program, despite opposition. Great interest and support from faculty wives for progressive activities; antipathy between faculty wives and town wives. Opposition to anti-depression activities as socialist. League of Women Voters was labeled Democratic by some Republicans."
[1:34:00],Religious revivals,Father's attitude toward revivals. Presbyterians believed that the light was expressed through daily conduct.
[1:37:00],Frank B. Robinson's interactions with the community,Frank B. Robinson and his great generosity in civic affairs. Did he believe in his religion? Validity of Crucified Gods Galore. His intellectual friendship with Reverend Clifford Drury. His help in depression. His defense of a retarded woman. He paid for a search for a lost boy and then hired the father. Opposition from some denominations. Spurning his offer to pay for the new Presbyterian Church spire. He started Moscow's first youth center.
[1:54:00],Helping the Settle Family,"Playing ""Black Man"" with the Settle boys. Respect for Settle family. A teacher said Gene was the only white man on the school board. Her mother helped him prepare for his eighth grade exams."
[1:58:00],Family planning,"It's the bad parts that make us willing to leave life. Controversial nature of family planning. Depression led to reduced size of families. Wives made decision about family size, not husbands. Middle class town women knew more about smaller families. Progress from dire need of Great Depression. Progress of women's thinking through education."
[2:04:00],Men leaving the farm for the war,"Relationship of parents to children. Many young men wanted to get away from the farm. The wars took people to the cities, offering opportunities. Most went to the west coast."
[2:06:00],Anti-German Sentiment during World War I,"Anti-German actions during World War I. Beatings of those Germans who didn't go into the army. Breaking windows in German stores in Uniontown. Burning merchandise from Germany at Williamsons. Lingering resentments. Tar and feathering a German. Difficult position of Germans, some older people hoped to return to Germany."
[2:11:00],"Catholic Church, Ku Klux Klan","Ku Klux Klan were people without much intelligence. People knew who belonged. It was against the Catholics. A lecture by an ""escaped nun"" who was guarded by the Klan and sponsored by a church. Some believed Catholic school was inferior to high school."
[2:17:00],How labor disputes affected farmers,"IWWs blow up Clyde threshing machine in summer of 1922. Labor troubles led farmers to modernize equipment to eliminate need for labor. Attitude of farmers towards need to work. A strike on the Snow place. Hiring outsiders took fun out of community undertaking of threshing. Outsiders were required because individual farmers bought their own threshing outfits, having a lot of land under cultivation. Shift to combines."
