time,title,description
[1:00],The Palouse flour mill; trading wheat with local farmers,The Palouse flour mill. Trading sacks of wheat for sacks of flour and by products. The good business with local farmers.
[8:00],Stage business on the Palouse before Potlatch was founded,"Stage stops on the Palouse before the town of Potlatch began, Men walked in while the stage carried their belongings; Art Craig's stage became a livery business. Old Hoodoo Trail."
[18:00],Famous Desperado Henry Plummer's horse business at Laird Park,"Henry Plummer, famous desperado, used cabins at Laird Park in his horse business."
[21:00],Mox Mox's horse herds in eastern Washington; Glen's father picked up a wild horse,"Mox Mox had tremendous horse herds in eastern Washington, Glen's father picked up a wild horse and used her to produce young."
[27:00],Injustices done to the Native Americans; Native American Faith,"The injustice whites did to the Indians. The whites almost always started the trouble. The Indians believed in God before the missionaries came; the missionaries preached different faiths, and did more harm than good."
[30:00],Vigilantes from Colfax cleaned up the country,Colfax vigilantes were needed to clean up the country. There is more crookedness now than there used to be.
[36:00],Northwest was desirability to people in California and the Southwest; Difficulties of making it with farms or orchards,Desirability of Northwest to people in California and the Southwest. Why didn't people leave their wagon trains when they passed through the inland country? Difficulty of making it with farms or orchards in early days.
[41:00],People left the area instead of sticking with it,Many people who left this area would have come through all right is they had stuck with it longer but they were attracted to better wages.
[44:00],Glen worked for six months in Spokane; Dislike of ciy people,"Why Glen went to work in Spokane, and why he only stayed for six months. Poverty in Spokane. Working for Oliver Plow Company. Dislike of city people for country. Country boys did better than city boys in city."
[52:00],Work changed with the season; weather rarely cause crop failure,Frequent changes of work with the season. Variability of weather has always been true of area. Rare troubles with rain or frost have never caused total crop failure. Wife's parents had crop failures in Dakota.
[59:00],Disliked farming for Lou Kegley,"In 1926 he farmed for Lou Kegley in terrible weather, and decided not to work for someone else again."
[1:00:00],How people got by; The importance of water; trading wood for supplies,How people got by. People without much land worked out. People always had plenty to eat. Great importance of water. Trading wood for everything.
[1:15:00],The importance of Potlatch to small farmers,Importance of Potlatch Lumber Company to small farmers. Working for Potlatch;driving a hack to work at Potlatch from far in the country.
[1:23:00],Stability of the population,"Stability of population. Some left, but many stayed and became successful. Newcomers were accepted, and then proved themselves."
[1:27:00],Selling milk during the depression in Potlatch; Potlatch during the depression,"Selling milk in Potlatch during the Depression. He delivered to those who had no money, and lost $20 all told. Struggling through. The team knew the route. Potlatch in the Depression."
[1:40:00],Dealing with friends and foes; Entertainment and loneliness in Spokane,Friends and foes - dealing with people who are trying to take you. Closeness of people. Entertainment and loneliness in Spokane.
[1:47:00],Glen gets a Potlatch crew head's job after beating him up for good cause.,Glen gets a Potlatch crew head's job after beating him up for good cause.
[1:58:00],Working a steam engine; Injuries and accidents in the mill,Learning to be a steam engineer. Firing the Corliss engine at Potlatch. Getting injured by a steam hose. Larry Potter killed in accident by Corliss engine. Injury in the slasher saws.
[2:00:00],Frank Herzog's father amputated his own toe to cure his corn,Frank Herzog's father cut his toe off with a pocket knife and carbolic acid to cure his corn.
