time,title,description
[1:00],Service in World War I; Spruce production for planes,Service in World War I. Spruce production for planes.
[4:00],Bill Deary kept the mill running; Featherstone quits; Hiring T.P. Jones and his rules for Camp 8,"Bill Deary sold white fir as ""silver pine"" in the East and so kept the mill running. Featherstone quit as the first assistant superintendent because Deary kept changing his men around. Hiring of T.P.Jones; he was a good man to work for. His rules for Camp 8 men."
[14:00],Frei homesteading at Collins; Rodeo play at Slab town,Frei homesteading at Collins. Rodeo play at Slab town.
[23:00],Beginnings of Bovill; Building the mill at Elk River instead of Bovill,"Beginnings of Bovill. Hugh Bovill tried to hold up Potlatch, so they built their mill in Elk River instead of Bovill. One of the Bovill girls dropped her boyfriend who quelled trouble at a sporting house."
[30:00],Weyerhausers regretting putting mill in Lewiston and shutting down Elk River mill; Weyerhaeusers acted like common people,"Weyerhaeusers regretted putting mill in Lewiston and shutting down Elk River. Weyerhaeusers went to the camps, and acted like they'd been common people."
[40:00],Endless line logging worked when Weyerhaeuser inspected it,"Endless line logging worked beautifully when Weyerhaeuser came to inspect it, then not at all."
[43:00],T.P. Jones made sure Gus Verdun's pool hall burnt down; Threatened Sanderson if he bought Verdun's place,"T.P.Jones saw to it that Gus Verdun's pool hall burnt down when it caught fire, since Verdun was an IWW sympathizer. Jones threatened to give Frank Sanderson a very hard time if he bought Verdun's place."
[49:00],Filthy conditions in lumber camps; Showing inspectors a fixed up camp; Bedbug troubles,Filth in lumber camps. Jones showed the state inspector one camp fixed up special to look good. Hogs lived in the camps. The incredible bedbug problem. How his mother dealt with bed bugs in her boarding house.
[56:00],Conditions in camps; Wobblies spoke of better conditions; Clubbing rats in Camp 8,Jones' responsibility for conditions. Magle cleaned up the camps. Nearly all the lumberjacks were Wobblies - one who spoke of better conditions. Clubbing rats in Camp 8.
[1:00:00],Jokes about clubbing rats; Jones' treatment of the men,"Joke about clubbing rats. Jones' good treatment of men, rehiring those he fired. Hospitality to wandering jacks in camp. Nogle's tightness with the men, and partiality."
[1:06:00],Hard times during the depression; Hunger and malnutrition,"Depression, hard times. Jobs for the superintendent's sons. Hungry families; giving food away. Trading wood for food. Death of a woman from malnutrition. Good credit from Groh's store kept people alive. CCC youths in bad shape."
[0:00],CREATE BRIEF TITLE HERE,"Blaming Wobblies for fires they didn't start. More about bad camp conditions. Throwing Wobblies into the bullpen at Moscow, The ""working man"" made them clean up."
